year,time
1888,page not found
1889,no 1500m race
1890,no 1500m race
1891,no 1500m race
1892,page not found
1893,"2.49,2"
1894,"2.45,2"
1895,"2.25,4"
1896,"2.36,2"
1897,no 1500m race
1898,"2.23,6"
1899,"2.45,0"
1900,"2.38,4"
1901,"2.43,4"
1902,"2.34,4"
1903,"2.59,0"
1904,"2.35,8"
1905,"2.41,0"
1906,"2.41,6"
1907,"2.33,0"
1908,"2.20,8"
1909,"2.27,4"
1910,"2.32,6"
1911,"2.26,0"
1912,"2.20,8"
1913,"2.24,4"
1914,"2.26,1"
1915,page not found
1916,page not found
1917,page not found
1918,page not found
1919,page not found
1920,page not found
1921,page not found
1922,"2.22,8"
1923,"2.24,9"
1924,"2.27,8"
1925,"2.23,0"
1926,"2.25,4"
1927,"2.24,1"
1928,"2.18,8"
1929,"2.21,9"
1930,"2.23,4"
1931,winner not found - please add data by hand
1932,"2.24,8"
1933,"2.22,8"
1934,"2.30,1"
1935,"2.23,4"
1936,"2.17,4"
1937,"2.19,5"
1938,"2.15,9"
1939,"2.30,7"
1940,page not found
1941,page not found
1942,page not found
1943,page not found
1944,page not found
1945,page not found
1946,page not found
1947,"2.21,0"
1948,"2.22,3"
1949,"2.30,8"
1950,"2.32,1"
1951,"2.17,7"
1952,"2.21,3"
1953,"2.18,1"
1954,"2.22,3"
1955,"2.20,6"
1956,"2.11,6"
1957,"2.13,9"
1958,"2.17,7"
1959,"2.15,8"
1960,"2.10,7"
1961,"2.17,8"
1962,"2.13,5"
1963,"2.09,2"
1964,"2.12,0"
1965,"2.08,0"
1966,"2.12,9"
1967,winner not found - please add data by hand
1968,"2.07,10"
1969,"2.08,70"
1970,"2.04,4"
1971,"2.04,8"
1972,"2.03,06"
1973,"2.12,70"
1974,"2.01,90"
1975,"2.05,31"
1976,"2.03,33"
1977,"2.01,16"
1978,"2.00,22"
1979,"1.56,05"
1980,"2.02,59"
1981,"1.58,46"
1982,"2.00,59"
1983,"1.57,66"
1984,winner not found - please add data by hand
1985,"1.59,16"
1986,"1.54,95"
1987,no 1500m race
1988,"1.53,66"
1989,"2.00,06"
1990,"1.56,23"
1991,"1.52,76"
1992,"1.52,17"
1993,"1.52,53"
1994,"1.59,68"
1995,"1.53,31"
1996,"1.53,92"
1997,"1.51,78"
1998,"1.48,85"
1999,"1.47,01"
2000,"1.47,85"
2001,"1.54,12"
2002,"1.48,44"
2003,"1.51,70"
2004,"1.46,02"
2005,"1.46,60"
2006,"1.42,68"
2007,"1.45,19"
2008,"1.45,93"
2009,"1.44,83"
2010,"1.45,36"
2011,"1.42,93"
2012,"1.46,82"
2013,"1.46,34"
2014,"1.46,12"
2015,"1.42,92"
2016,"1.46,24"
2017,"1.44,41"
2018,no 1500m race
2019,"1.43,11"
2020,"1.44,41"
